id,source_platform,post_text,user_name,timestamp,url,inferred_location,influencer_mentioned,emoji_tags,raw_emojis,sentiment_label,relevance_score,emotion_tags
63413e93-522c-4a74-9e4e-678d7efccdbb,Facebook,"re oO fF 8 O89 & © Teri Johnson Author Welllllll ima big Gurl so @ maybe...tt'll help here. 3d Like Reply Share (ib) Tee Brown Key word up to, doesn't mean you'll get $800. lis 3d Like Reply Share Teri Johnson Author Oh I'm sure its not likely. But just trying to figure out if its worth the time. 2d Like Reply Share Anonymous participant 693 It’s up to $800 with donating twice per week combined with multiple referral bonuses. 2d Like Reply Share oO Shannon Moland $800 would be possible is you are a new donor. And then continue to donate 2 times a week. but it will drop to under 500 the next month 1d Like Reply Share (ib) Teri Johnson Author Thank you! | will give it a shot!! 23h Like Reply Share Julia Skwanghqn - Follow It's spam 17h Like Reply Share",,2025-12-14T03:36:03.038100,,,,neutral,©,Negative,0.9812,"Referral Bonus, Wait Time, Trust"
9467a0b1-e35f-4178-9fdb-f4d04c1313d7,Facebook,"Dottie's Post View all 5 replies Anonymous participant 782 My brother gets extra money cause he got a extra vaccine from working at the hospital. Think it was the hepatitis B vaccine . He gets almost double what a normal donor gets. My self use to donate to buy concert tickets or food. 23w Like Reply Share (ib) View all 4 replies Andrea Ortiz Wow, kind of an arrogant post! You feel good about helping people out but have no shame tearing down those that use donating to supplement some income to keep Up on bills...when they slash their payout by half because of all the people donating, of course some will get upset. They literally get THOUSANDS for the plasma and pay you crap. If you are so worthy why even sell it, go to the hospitals donate 23w Like Reply Share Edited 200 View all 5 replies Bunny Murphy Doesn't matter if they complain companies exploit us daily and they are not exempt cuz they give you $60 for something they sell for thousands of your DNA. Be real. The shade would be if ppl stopped ppl from going due to low payouts 23w Like Reply Share 20",,2025-12-14T03:36:03.736251,,,,,,Negative,0.9944,"Exploitation, Trust, Convenience"
d757ee65-9460-4857-b20c-5ff6bef2eb59,Facebook,Dottie's Post 22w Like Reply Share (& Christopher Reyna Plasma places sell a bottle of plasma for $1000-5000 and they pay a “donor” fucking $40-60 for their plasma and often times waste their time lolly gagging for 2+ hours 22w Like Reply Share (ib) AC. Collette So out of touch and a bit insensitive including the people you claim to help. 22w Like Reply Share (ib) Rachael Davis Long I'm one of those people that needs the money for bills. Thanks for trying to shame a single mom. & 22w Like Reply Share Amy Meeks Ingram Mine is 1 hour at the most!! 22w Like Reply Share Nicole Rodriguez - Follow But yall sell plasma/blood for a few thousand dollars 22w Like Reply Share LaKengela Katriece Henley | been donating since 2006-2007 and the amount that they “pay” you isn't near anywhere what they get. They get millions of dollars and then they stopped the platinum program and they hardly do the drawings anymore or you have to jump through hoops to even qualify for the bonuses. | haven't donated since 2024 because,,2025-12-14T03:36:04.442762,,,,,,Negative,0.999,"Wait Time, Exploitation, Convenience"
baf90eb3-ef2e-486a-8035-c5dbf4fc9e36,Facebook,"22w Like Reply Share Lee Hardin Lower fees is just pure greed. These companies mostly sell our plasma to pharma companies. Which they can get up to 5k per 880ml depending on which pharma they are selling to. So paying us $50 and turning around selling it for up to 5k?? Yea compensation matters greatly when they are making huge profits off our bodily fluids. Donation compensation has been going down because there are those desperate for the month and the companies know this. They push limits to get away with paying as little as they can 22w Like Reply Share (ib) View all 4 replies Idave AG You literally are giving away your life substance. If you wanted to use your own plasma on yourself it cost 1000$+. They take your plasma pull PRP and inject that into you. Plasma is SO powerful. That yes. You should be getting paid more for it especially with inflation adjustment that didn't seem to hit the plasma industry 2w Like Reply Share oO Pris Pris $750+ per bottle to the hospitals,, but why complain about 30$ for one donations to just sit and watch a movie, total rip off col tlm) Behe Chara Celieeed ry",,2025-12-14T03:36:05.176658,,,,,,Negative,0.9633,"Compensation, Exploitation, Trust"
63bd9a3c-5f38-4b57-bd58-604dfb7ec82f,Facebook,ia) Anonymous participant 706 Griffols pays higher 23w like Reply Share @) (a) Anonymous participant 561 It's not worth the compensation when it takes more than 3 hours. 23w Like Reply Share 100 Chris Light @ Anonymous participant 561 everywhere else is way faster than CSL! 23w Like Reply Share View all 3 replies Nancy Hamman Anonymous participant 561 uh no it’s not! 23w Like Reply Share Shannon Moland Anonymous participant 561 oh | see... | go early to try and avoid that crowd 23w Like Reply Share Shannon Barron Anonymous participant 561 that's a big reason why my husband and | go first thing in the morning. We're usually in the first 5. Our actual donation time is around 25 minutes and we're usually back home by 8:30a. 22w Like Reply Share,,2025-12-14T03:36:05.801073,,,,,,Negative,0.9985,"Compensation, Convenience, Wait Time"
